;; Dribble of #<IO TERMINAL-STREAM> started on 2015-11-30 09:38:02.
#<OUTPUT BUFFERED FILE-STREAM CHARACTER #P"gen20151130-093802.log">
[3]> (algoritmo-genetico 20 100 10 #'custo-oportunidade #'heuristica-pontuacao-1 #'custo-buracos #'heuristica-pontuacao-2 #'custo-altura-agregada)
  --> Individuo: 91 | Resultado: 415 | Parametros: 0.43 0.37 0.14 0.60 0.56
  --> Individuo: 92 | Resultado: 450 | Parametros: 0.60 0.47 0.47 0.38 0.24
  --> Individuo: 93 | Resultado: 435 | Parametros: 0.56 0.45 0.32 0.38 0.49
  --> Individuo: 94 | Resultado: 310 | Parametros: 0.11 0.81 0.11 0.27 0.49
  --> Individuo: 95 | Resultado: 435 | Parametros: 0.60 0.43 0.38 0.51 0.21
  --> Individuo: 96 | Resultado: 430 | Parametros: 0.69 0.01 0.66 0.24 0.16
  --> Individuo: 97 | Resultado: 465 | Parametros: 0.16 0.23 0.94 0.08 0.16
  --> Individuo: 98 | Resultado: 390 | Parametros: 0.22 0.18 0.51 0.53 0.61
  --> Individuo: 99 | Resultado: 430 | Parametros: 0.65 0.01 0.73 0.17 0.12
  --> Individuo: 100 | Resultado: 395 | Parametros: 0.38 0.55 0.47 0.53 0.22

=============== Fim da Geracao 02 | Media: 405.2500 | Best: 465.0000 | Parametros: 0.16 0.23 0.94 0.08 0.16 ==============

  --> Individuo: 01 | Resultado: 405 | Parametros: 0.61 0.51 0.26 0.15 0.53
  --> Individuo: 02 | Resultado: 390 | Parametros: 0.53 0.43 0.30 0.35 0.57
  --> Individuo: 03 | Resultado: 400 | Parametros: 0.25 0.03 0.69 0.50 0.46
  --> Individuo: 04 | Resultado: 405 | Parametros: 0.19 0.47 0.47 0.34 0.64
  --> Individuo: 05 | Resultado: 400 | Parametros: 0.40 0.50 0.52 0.34 0.46
  --> Individuo: 06 | Resultado: 405 | Parametros: 0.38 0.62 0.23 0.50 0.41
  --> Individuo: 07 | Resultado: 405 | Parametros: 0.57 0.08 0.58 0.48 0.32
  --> Individuo: 08 | Resultado: 410 | Parametros: 0.54 0.49 0.50 0.40 0.25
  --> Individuo: 09 | Resultado: 380 | Parametros: 0.28 0.51 0.18 0.77 0.17
  --> Individuo: 10 | Resultado: 410 | Parametros: 0.53 0.40 0.42 0.60 0.12
  --> Individuo: 11 | Resultado: 355 | Parametros: 0.16 0.71 0.41 0.33 0.44
  --> Individuo: 12 | Resultado: 400 | Parametros: 0.59 0.45 0.34 0.53 0.24
  --> Individuo: 13 | Resultado: 405 | Parametros: 0.36 0.76 0.11 0.45 0.28
  --> Individuo: 14 | Resultado: 400 | Parametros: 0.44 0.55 0.35 0.47 0.41
  --> Individuo: 15 | Resultado: 405 | Parametros: 0.60 0.22 0.37 0.37 0.57
  --> Individuo: 16 | Resultado: 405 | Parametros: 0.51 0.37 0.49 0.29 0.53
  --> Individuo: 17 | Resultado: 345 | Parametros: 0.11 0.50 0.59 0.28 0.55
  --> Individuo: 18 | Resultado: 410 | Parametros: 0.57 0.52 0.11 0.49 0.40
  --> Individuo: 19 | Resultado: 395 | Parametros: 0.51 0.38 0.41 0.36 0.55
  --> Individuo: 20 | Resultado: 405 | Parametros: 0.42 0.55 0.33 0.62 0.17
  --> Individuo: 21 | Resultado: 410 | Parametros: 0.44 0.57 0.51 0.22 0.42
  --> Individuo: 22 | Resultado: 405 | Parametros: 0.66 0.36 0.42 0.47 0.19
  --> Individuo: 23 | Resultado: 405 | Parametros: 0.41 0.38 0.62 0.07 0.55
  --> Individuo: 24 | Resultado: 405 | Parametros: 0.78 0.41 0.05 0.37 0.29
  --> Individuo: 25 | Resultado: 400 | Parametros: 0.42 0.54 0.48 0.47 0.29
  --> Individuo: 26 | Resultado: 320 | Parametros: 0.12 0.91 0.13 0.31 0.22
  --> Individuo: 27 | Resultado: 405 | Parametros: 0.55 0.16 0.36 0.43 0.60
  --> Individuo: 28 | Resultado: 400 | Parametros: 0.39 0.50 0.44 0.47 0.43
  --> Individuo: 29 | Resultado: 405 | Parametros: 0.51 0.09 0.60 0.59 0.17
  --> Individuo: 30 | Resultado: 410 | Parametros: 0.53 0.40 0.43 0.51 0.34
  --> Individuo: 31 | Resultado: 435 | Parametros: 0.69 0.01 0.65 0.30 0.12
  --> Individuo: 32 | Resultado: 365 | Parametros: 0.23 0.66 0.48 0.53 0.01
  --> Individuo: 33 | Resultado: 440 | Parametros: 0.70 0.07 0.67 0.25 0.01
  --> Individuo: 34 | Resultado: 410 | Parametros: 0.51 0.37 0.40 0.49 0.45
  --> Individuo: 35 | Resultado: 400 | Parametros: 0.29 0.24 0.66 0.31 0.57
  --> Individuo: 36 | Resultado: 405 | Parametros: 0.56 0.20 0.45 0.59 0.31
  --> Individuo: 37 | Resultado: 405 | Parametros: 0.34 0.73 0.19 0.52 0.21
  --> Individuo: 38 | Resultado: 390 | Parametros: 0.50 0.65 0.51 0.12 0.23
  --> Individuo: 39 | Resultado: 410 | Parametros: 0.55 0.59 0.05 0.40 0.44
  --> Individuo: 40 | Resultado: 415 | Parametros: 0.51 0.55 0.45 0.45 0.18
  --> Individuo: 41 | Resultado: 405 | Parametros: 0.35 0.67 0.31 0.49 0.32
  --> Individuo: 42 | Resultado: 165 | Parametros: -0.04 0.64 0.24 0.52 0.50
  --> Individuo: 43 | Resultado: 405 | Parametros: 0.43 0.39 0.64 0.44 0.24
  --> Individuo: 44 | Resultado: 400 | Parametros: 0.65 0.02 0.50 0.48 0.32
  --> Individuo: 45 | Resultado: 410 | Parametros: 0.60 0.53 0.23 0.51 0.21
  --> Individuo: 46 | Resultado: 405 | Parametros: 0.61 0.43 0.38 0.45 0.30
  --> Individuo: 47 | Resultado: 405 | Parametros: 0.58 0.41 0.36 0.14 0.59
  --> Individuo: 48 | Resultado: 410 | Parametros: 0.59 0.50 0.26 0.54 0.22
  --> Individuo: 49 | Resultado: 405 | Parametros: 0.39 0.51 0.12 0.56 0.51
  --> Individuo: 50 | Resultado: 390 | Parametros: 0.53 0.27 0.55 0.54 0.22
  --> Individuo: 51 | Resultado: 165 | Parametros: -0.03 0.66 0.30 0.54 0.42
  --> Individuo: 52 | Resultado: 365 | Parametros: 0.24 0.66 0.19 0.57 0.38
  --> Individuo: 53 | Resultado: 410 | Parametros: 0.57 0.29 0.15 0.75 0.05
  --> Individuo: 54 | Resultado: 405 | Parametros: 0.18 0.09 0.77 0.35 0.49
  --> Individuo: 55 | Resultado: 405 | Parametros: 0.55 0.39 0.57 0.38 0.30
  --> Individuo: 56 | Resultado: 400 | Parametros: 0.47 0.44 0.43 0.58 0.24
  --> Individuo: 57 | Resultado: 410 | Parametros: 0.32 0.54 0.20 0.36 0.66
  --> Individuo: 58 | Resultado: 400 | Parametros: 0.35 0.38 0.58 0.17 0.61
  --> Individuo: 59 | Resultado: 400 | Parametros: 0.41 0.33 0.23 0.28 0.77
  --> Individuo: 60 | Resultado: 435 | Parametros: 0.69 0.13 0.21 0.05 0.68
  --> Individuo: 61 | Resultado: 400 | Parametros: 0.28 0.23 0.64 0.67 0.08
  --> Individuo: 62 | Resultado: 410 | Parametros: 0.35 0.23 0.77 0.35 0.32
  --> Individuo: 63 | Resultado: 405 | Parametros: 0.27 0.75 0.54 0.12 0.23
  --> Individuo: 64 | Resultado: 405 | Parametros: 0.35 0.75 0.49 0.25 0.10
  --> Individuo: 65 | Resultado: 405 | Parametros: 0.36 0.58 0.55 0.42 0.25
  --> Individuo: 66 | Resultado: 400 | Parametros: 0.35 0.58 0.23 0.50 0.49
  --> Individuo: 67 | Resultado: 405 | Parametros: 0.40 0.41 0.32 0.63 0.42
  --> Individuo: 68 | Resultado: 400 | Parametros: 0.50 0.44 0.01 0.73 0.14
  --> Individuo: 69 | Resultado: 395 | Parametros: 0.54 0.41 0.32 0.39 0.53
  --> Individuo: 70 | Resultado: 400 | Parametros: 0.42 0.54 0.43 0.35 0.47
  --> Individuo: 71 | Resultado: 400 | Parametros: 0.39 0.63 0.16 0.26 0.60
  --> Individuo: 72 | Resultado: 435 | Parametros: 0.53 0.06 0.51 0.13 0.66
  --> Individuo: 73 | Resultado: 395 | Parametros: 0.28 0.61 0.40 0.10 0.61
  --> Individuo: 74 | Resultado: 400 | Parametros: 0.37 0.12 0.36 0.79 0.32
  --> Individuo: 75 | Resultado: 405 | Parametros: 0.38 0.02 0.17 0.36 0.83
  --> Individuo: 76 | Resultado: 400 | Parametros: 0.51 0.66 0.10 0.41 0.36
  --> Individuo: 77 | Resultado: 400 | Parametros: 0.43 0.70 0.51 0.23 0.09
